keys,ko,en
UI_FIELD_GOT_ITEM,%s 획득!,Got %s!
UI_BATTLE_CMD_ATTACK,공격,Attack
UI_BATTLE_CMD_SKILL,기술,Skill
UI_BATTLE_CMD_GUARD,방어,Guard
UI_BATTLE_CMD_ITEM,도구,Item
UI_BATTLE_CMD_FLEE,도망,Flee
UI_BATTLE_NO_ITEM,사용 가능한 도구 없음,No usable item
UI_BATTLE_PLAYER_NAME,시돌,Sidol
UI_RESULT_WIN,전투 승리,Victory
UI_RESULT_MONEY,소지금,Money
UI_RESULT_CONTINUE,SPACE  계속,SPACE  Continue
UI_RESULT_MAX_HP,최대 HP,Max HP
UI_STATUS_DOT,지속,DoT
UI_STATUS_GUARD,방어,Guard
UI_STATUS_PARALYSIS,마비,Paralysis
UI_STATUS_ATTACK,공격,Attack
UI_STATUS_RESIST,저항,Resist
UI_ITEM_HEAL,HP %d 회복,Restored %d HP
UI_ITEM_CURED,%s 해제,%s cured
UI_ITEM_STATUS_TURNS,%s (%d턴),%s (%d turns)
UI_ITEM_ATK_BUFF,공격력 +%d (%d턴),Attack +%d (%d turns)
UI_QUIZ_TITLE,공대생 생존 퀴즈,Engineering survival quiz
UI_BATTERY_TITLE,"10,000V 고전압 회로","10,000V circuit"
UI_BATTERY_HINT,"직렬 합계 %dV × 과충전 x%d = %dV  /  목표 %dV","Series %dV × overcharge x%d = %dV  /  target %dV"
UI_BATTERY_HINT2,"(←→ 슬롯 | ↑↓ 건전지 | SPACE 레버)","(←→ slot | ↑↓ battery | SPACE lever)"
UI_CREDIT_MODE_TEAM,부싯돌 개발팀,Busidol dev team
UI_CREDIT_MODE_AFTER,엔딩 후일담,Epilogue
UI_CREDIT_MODE_ROLL,스탭롤,Staff roll
UI_CREDIT_MODE_QUIZ,공식 퀴즈,Official quiz
UI_CREDIT_HINT,↑↓ 모드 | ← → 항목 | ESC 나가기,↑↓ Mode | ←→ Item | ESC Leave
UI_CREDIT_QUIZ_TITLE,공식 퀴즈 도전,Take the official quiz
UI_CREDIT_QUIZ_DESC,10문항 전부 정답에 도전한다.,Aim for all 10 answers correct.
UI_CREDIT_QUIZ_START,SPACE: 도전,SPACE: Start
UI_CREDIT_QUIZ_PERFECT,완벽했다. 자랑스럽게도 말이지.,Flawless. And proudly so.
UI_SETTINGS_TITLE,설정,Settings
UI_SETTINGS_HINT,↑↓ 항목   ←→ 값   Esc 닫기,↑↓ Row   ←→ Value   Esc Close
UI_PAUSE_HINT,↑↓ 선택   Enter 확인   Esc 닫기,↑↓ Select   Enter Confirm   Esc Close
UI_HELP_TITLE,조작법,Controls
UI_BATTLE_NO_SKILL,습득한 기술 없음,No skills learned
UI_KIND_WEAPON,무기,Weapon
UI_KIND_ARMOR,방어구,Armor
UI_KIND_CONSUMABLE,소모품,Consumable
UI_KIND_SUBSTITUTE,시약,Reagent
UI_KIND_MATERIAL,재료,Material
UI_KIND_QUEST,중요 물품,Key item
UI_KIND_MONEY,돈,Money
UI_ELEM_PHYSICAL,물리,Physical
UI_ELEM_ELECTRIC,전격,Electric
UI_ELEM_FIRE,화염,Fire
UI_ELEM_NONE,무속성,Neutral
UI_BAG_DEF,방어력,Defense
UI_BAG_POSITION,%d / %d,%d / %d
UI_BAG_ACT_EQUIP,SPACE 장착,SPACE Equip
UI_BAG_ACT_UNEQUIP,SPACE 해제,SPACE Unequip
UI_BAG_ACT_USE,SPACE 사용,SPACE Use
UI_BAG_ACT_NONE,여기서는 쓸 수 없다,Cannot be used here
UI_SHOP_HINT,↑↓ 선택   SPACE 구매   Esc 닫기,↑↓ Select   SPACE Buy   Esc Close
UI_SHOP_EMPTY,재고가 없다,Out of stock
UI_SHOP_NO_MONEY,소지금 부족,Not enough money
UI_BATTLE_MENU_BACK,Esc 뒤로,Esc Back
UI_BATTLE_BACK,뒤로,Back
UI_BATTLE_HOTKEYS,1~9 선택 · Q/E 대상 · R 반복,1-9 select · Q/E target · R repeat
UI_BATTLE_RESULT_WIN,WIN!,WIN!
UI_BATTLE_RESULT_LOSE,LOSE...,LOSE...
UI_BATTLE_RESULT_FLEE,FLEE,FLEE
UI_BATTLE_FLEE_FAIL,도망 실패!,Escape failed!
UI_BATTLE_FLEE_BLOCKED,물러설 수 없다,No way out
UI_CREDIT_CARD_LOCKED,아직 열리지 않은 후일담,Not unlocked yet
UI_SETTINGS_TEXT_SPEED,대사 속도,Text speed
UI_OPT_TSPEED_SLOW,느리게,Slow
UI_OPT_TSPEED_NORMAL,보통,Normal
UI_OPT_TSPEED_FAST,빠르게,Fast
UI_OPT_TSPEED_INSTANT,즉시,Instant
UI_SETTINGS_DIALOGUE_AUTO,대사 자동 진행,Auto-advance text
UI_SETTINGS_COLORBLIND,색각 대응 무늬,Colorblind patterns
UI_DLGLOG_TITLE,대화 로그,Dialogue log
UI_DLGLOG_HINT,↑ ↓ 넘기기 | Enter·ESC 닫기,Up/Down scroll | Enter/ESC close
UI_DLGLOG_EMPTY,아직 오간 말이 없다.,Nothing has been said yet.
UI_HELP_DLGLOG,대화 로그(대화 중),Dialogue log (while talking)
UI_BLOG_START,전투 시작,Battle start
UI_BLOG_TURN,TURN %d,TURN %d
UI_BATTLE_ENEMY_TURN,적의 공격 — %s,Enemy attack — %s
UI_STAIRS_LOCKED,잠겨 있다,Locked
UI_STAIRS_UP,▲ %s,▲ %s
UI_STAIRS_DOWN,▼ %s,▼ %s
UI_STAIRS_LOCKED_TAG, (잠김), (locked)
UI_STAIRS_DEAD,이 계단은 막혀 있다 — 다른 계단을 이용해라,This stairway is blocked — use other stairs
UI_BLOG_ACTION,%s,%s
UI_BLOG_HIT,%s에게 %d,%s takes %d
UI_BLOG_WEAK,%s 약점!,%s weak point!
UI_BLOG_BREAK,%s 브레이크!,%s break!
UI_BLOG_ENEMY_HIT,%s의 공격 %d,%s attacks for %d
UI_BLOG_DODGE_HIT,피격 %d회 %d,%d hits taken for %d
UI_BLOG_RESULT,%s,%s
UI_BLOG_CRIT,%s에게 치명타! %d,Critical hit on %s! %d
UI_BLOG_GUARD,방어 태세 (피해 경감 + 소량 회복),Guarding (Reduce damage + small heal)
UI_BLOG_ADVANTAGE,선제 기습 성공! (적 방어 압박),Surprise attack! (Enemy defense broken)
UI_BLOG_AMBUSH,적의 기습 공격!,Enemy ambush!
UI_MENU_TAB_ITEMS,아이템,Items
UI_MENU_TAB_GEAR,장비,Gear
UI_MENU_TAB_STATUS,상태,Status
UI_MENU_TAB_SYSTEM,시스템,System
UI_GEAR_EMPTY,비어 있음,Empty
UI_GEAR_HINT,확인 키로 해제 · Q/E 탭 이동,Confirm to unequip · Q/E switch tab
UI_STAT_LEVEL,레벨,Level
UI_STAT_HP,체력,HP
UI_STAT_AP,공격력,Attack
UI_STAT_DP,방어력,Defense
UI_STAT_EXP,경험치,EXP
UI_STAT_MONEY,소지금,Money
UI_CHAR_MENU_TITLE,캐릭터 메뉴,Character menu
UI_CHAR_MENU_HINT,↑ ↓ ← → 선택 | Q/E 탭 | 클릭도 됨 | I·ESC 닫기,Arrows select | Q/E tabs | click works | I/ESC close
UI_GEAR_SLOTS_TITLE,장착 슬롯,Equipped Slots
UI_GEAR_INV_TITLE,착용 가능 장비,Equipable Gear
UI_GEAR_NO_EQUIPABLE,착용 가능한 장비 없음,No equipable gear
UI_GEAR_COMPARE_TITLE,스탯 비교,Stat Comparison
UI_GEAR_UNEQUIP,장비 해제,Unequip
UI_STAT_PROFILE_TITLE,시돌 (컴공 2학년),Sidol (CS Sophomore)
UI_STAT_SKILLS_TITLE,습득 기술,Skills
UI_STAT_NO_SKILLS,기본 기술만 보유 중,Basic skills only
UI_STAT_NEXT_EXP,다음 레벨까지,Next Level
UI_SYSTEM_SUB_SAVE,현재 진행 상황을 슬롯에 저장,Save current game progress
UI_SYSTEM_SUB_LOAD,저장된 기록을 불러오기,Load saved game data
UI_SYSTEM_SUB_QUESTLOG,진행 중인 퀘스트와 목표 확인,Check active quests and goals
UI_SYSTEM_SUB_SETTINGS,볼륨·속도·화면 등 설정 조정,Adjust volume and display settings
UI_SYSTEM_SUB_HELP,게임 조작법 및 키 안내 확인,View controls and game guide
UI_DLG_BTN_LOG,로그 (Enter),Log (Enter)
UI_DLG_BTN_AUTO,자동,Auto
UI_DLG_BTN_SKIP,스킵,Skip
UI_DLG_NEXT,▼,▼
UI_HUD_TRACKER_TITLE,현재 목표,Current Objective
UI_TRACKER_F1,3층 화공과 사고 조사,Investigate 3F Chem incident
UI_TRACKER_F2,전산과 실습실 및 단서 수색,Search CS lab and clues
UI_TRACKER_F3,화공과 해독제 시약 합성,Synthesize antidote reagents
UI_TRACKER_F4,실험 구역 돌파 및 전원 복구,Breach lab and restore power
UI_TRACKER_F5,시스템 빌더 제어실 도달,Reach System Builder chamber
UI_TRACKER_DEFAULT,학교 탈출 단서 수색,Search clues to escape
UI_BATTLE_STAMINA,기력,Stamina
UI_BATTLE_STAMINA_GAIN,기력 +%d,Stamina +%d
UI_BATTLE_NO_STAMINA,기력이 모자란다,Not enough stamina
UI_BATTLE_STATUS_RESISTED,저항했다!,Resisted!
UI_BLOG_STATUS_RESIST,%s의 수작을 버텨 냈다,%s's trick was resisted
UI_BLOG_ENEMY_PARALYZE,%s의 방전! 몸이 저릿하다 (%d),%s discharges! Numbness (%d)
UI_BLOG_ENEMY_DOT,%s의 부식 공격! 턴마다 %d,%s corrodes you! %d per turn
UI_BATTLE_PARALYZED,몸이 저려 움직일 수 없다!,Too numb to move!
UI_BLOG_PLAYER_PARALYZED,마비 — 턴을 잃었다,Paralyzed — turn lost
